,Close
2020-03-02,182.49993896484375
2020-03-03,180.72398376464844
2020-03-04,191.11817932128906
2020-03-05,182.5434112548828
2020-03-06,177.84251403808594
2020-03-09,169.62460327148438
2020-03-10,182.29092407226562
2020-03-11,172.29714965820312
2020-03-12,153.78945922851562
2020-03-13,155.49574279785156
2020-03-16,136.3873748779297
2020-03-17,140.24392700195312
2020-03-18,150.04617309570312
2020-03-19,147.53028869628906
2020-03-20,138.69436645507812
2020-03-23,134.0369415283203
2020-03-24,143.96983337402344
2020-03-25,154.46852111816406
2020-03-26,170.0076141357422
2020-03-27,161.5634002685547
2020-03-30,165.00204467773438
2020-03-31,158.62100219726562
2020-04-01,150.7252197265625
2020-04-02,157.25425720214844
2020-04-03,157.60244750976562
2020-04-06,168.63218688964844
2020-04-07,166.917236328125
2020-04-08,170.1382293701172
2020-04-09,167.4831085205078
2020-04-13,169.39822387695312
2020-04-14,171.513671875
2020-04-15,166.255615234375
2020-04-16,167.5614013671875
2020-04-17,170.59088134765625
2020-04-20,167.36990356445312
2020-04-21,160.5709991455078
2020-04-22,162.1205596923828
2020-04-23,162.59066772460938
2020-04-24,160.61451721191406
2020-04-27,163.8877410888672
2020-04-28,166.508056640625
2020-04-29,170.2340087890625
2020-04-30,166.62994384765625
2020-05-01,161.63304138183594
2020-05-04,156.6796417236328
2020-05-05,159.0214385986328
2020-05-06,155.52183532714844
2020-05-07,150.87318420410156
2020-05-08,157.2020263671875
2020-05-11,155.05177307128906
2020-05-12,151.05601501464844
2020-05-13,148.21803283691406
2020-05-14,149.92430114746094
2020-05-15,148.46176147460938
2020-05-18,157.05401611328125
2020-05-19,151.03858947753906
2020-05-20,152.44015502929688
2020-05-21,158.00286865234375
2020-05-22,159.1084747314453
2020-05-26,168.37969970703125
2020-05-27,179.26148986816406
2020-05-28,175.5780487060547
2020-05-29,174.88690185546875
2020-06-01,171.0722198486328
2020-06-02,169.9523468017578
2020-06-03,174.69439697265625
2020-06-04,173.688232421875
2020-06-05,177.23165893554688
2020-06-08,180.25013732910156
2020-06-09,173.02333068847656
2020-06-10,172.3671112060547
2020-06-11,158.18475341796875
2020-06-12,159.48837280273438
2020-06-15,159.30465698242188
2020-06-16,162.36685180664062
2020-06-17,160.94073486328125
2020-06-18,158.78848266601562
2020-06-19,156.3124542236328
2020-06-22,155.6649932861328
2020-06-23,155.00880432128906
2020-06-24,146.30337524414062
2020-06-25,150.5817413330078
2020-06-26,149.57559204101562
2020-06-29,155.21878051757812
2020-06-30,152.66404724121094
2020-07-01,151.99911499023438
2020-07-02,151.45664978027344
2020-07-06,151.6053924560547
2020-07-07,147.26580810546875
2020-07-08,146.5396270751953
2020-07-09,141.53509521484375
2020-07-10,146.1459197998047
2020-07-13,148.4031982421875
2020-07-14,150.32803344726562
2020-07-15,154.8338165283203
2020-07-16,156.93359375
2020-07-17,158.31600952148438
2020-07-20,154.18638610839844
2020-07-21,155.7437286376953
2020-07-22,157.14361572265625
2020-07-23,158.28099060058594
2020-07-24,154.91258239746094
2020-07-27,151.53538513183594
2020-07-28,153.1015167236328
2020-07-29,153.88018798828125
2020-07-30,152.92649841308594
2020-07-31,151.9816131591797
2020-08-03,153.40771484375
2020-08-04,151.83285522460938
2020-08-05,156.32118225097656
2020-08-06,142.43629455566406
2020-08-07,146.89834594726562
2020-08-10,147.97451782226562
2020-08-11,147.458251953125
2020-08-12,143.63491821289062
2020-08-13,143.5998992919922
2020-08-14,146.01467895507812
2020-08-17,142.6899871826172
2020-08-18,141.9900360107422
2020-08-19,142.4100341796875
2020-08-20,139.58404541015625
2020-08-21,138.78787231445312
2020-08-24,141.89382934570312
2020-08-25,139.05911254882812
2020-08-26,134.64076232910156
2020-08-27,135.15164184570312
2020-08-28,134.28843688964844
2020-08-31,133.4604949951172
2020-09-01,132.41232299804688
2020-09-02,133.31076049804688
2020-09-03,132.22735595703125
2020-09-04,129.9284210205078
2020-09-08,124.86373901367188
2020-09-09,124.50263214111328
2020-09-10,121.40215301513672
2020-09-11,129.83155822753906
2020-09-14,129.34706115722656
2020-09-15,127.95539093017578
2020-09-16,130.30718994140625
2020-09-17,132.6413116455078
2020-09-18,131.3993682861328
2020-09-21,126.74867248535156
2020-09-22,126.49327850341797
2020-09-23,122.81148529052734
2020-09-24,122.86433410644531
2020-09-25,124.38810729980469
2020-09-28,126.07048034667969
2020-09-29,124.37933349609375
2020-09-30,123.97415924072266
2020-10-01,123.29594421386719
2020-10-02,126.9512939453125
2020-10-05,128.88027954101562
2020-10-06,129.59373474121094
2020-10-07,130.30718994140625
2020-10-08,131.8045654296875
2020-10-09,132.10400390625
2020-10-12,131.63722229003906
2020-10-13,130.76522827148438
2020-10-14,133.4692840576172
2020-10-15,129.9636993408203
2020-10-16,130.36004638671875
2020-10-19,129.44398498535156
2020-10-20,130.0957794189453
2020-10-21,131.6988525390625
2020-10-22,134.08584594726562
2020-10-23,134.60552978515625
2020-10-26,131.86622619628906
2020-10-27,129.0476531982422
2020-10-28,124.59951782226562
2020-10-29,125.92957305908203
2020-10-30,129.9020233154297
2020-11-02,131.68124389648438
2020-11-03,138.19923400878906
2020-11-04,132.755859375
2020-11-05,133.7158966064453
2020-11-06,134.51742553710938
2020-11-09,137.38009643554688
2020-11-10,142.28623962402344
2020-11-11,139.20339965820312
2020-11-12,139.63494873046875
2020-11-13,144.46185302734375
2020-11-16,143.80120849609375
2020-11-17,143.4136962890625
2020-11-18,143.5897979736328
2020-11-19,142.87635803222656
2020-11-20,139.8199462890625
2020-11-23,145.43075561523438
2020-11-24,150.50416564941406
2020-11-25,146.7799072265625
2020-11-27,145.8931884765625
2020-11-30,142.04478454589844
2020-12-01,145.795654296875
2020-12-02,144.68724060058594
2020-12-03,145.18380737304688
2020-12-04,148.69525146484375
2020-12-07,150.77902221679688
2020-12-08,152.15350341796875
2020-12-09,153.79393005371094
2020-12-10,154.6984100341797
2020-12-11,157.5714111328125
2020-12-14,155.15943908691406
2020-12-15,156.1260223388672
2020-12-16,154.8402557373047
2020-12-17,151.16038513183594
2020-12-18,150.40664672851562
2020-12-21,146.54937744140625
2020-12-22,145.09510803222656
2020-12-23,147.68438720703125
2020-12-24,146.66464233398438
2020-12-28,147.9858856201172
2020-12-29,147.71096801757812
2020-12-30,149.44895935058594
