,Close
2020-03-02,183.55975341796875
2020-03-03,181.370361328125
2020-03-04,190.0083465576172
2020-03-05,185.61119079589844
2020-03-06,183.71615600585938
2020-03-09,169.9449920654297
2020-03-10,172.640380859375
2020-03-11,173.17391967773438
2020-03-12,158.96121215820312
2020-03-13,165.6214141845703
2020-03-16,150.87518310546875
2020-03-17,159.25555419921875
2020-03-18,144.56455993652344
2020-03-19,140.36973571777344
2020-03-20,140.4065704345703
2020-03-23,135.74256896972656
2020-03-24,156.24745178222656
2020-03-25,150.64520263671875
2020-03-26,152.245849609375
2020-03-27,153.81893920898438
2020-03-30,159.7488250732422
2020-03-31,156.8855438232422
2020-04-01,144.2681427001953
2020-04-02,146.3186798095703
2020-04-03,145.0994415283203
2020-04-06,161.9749298095703
2020-04-07,165.05079650878906
2020-04-08,175.54368591308594
2020-04-09,181.05796813964844
2020-04-13,175.22035217285156
2020-04-14,181.963134765625
2020-04-15,171.47952270507812
2020-04-16,174.74928283691406
2020-04-17,180.47605895996094
2020-04-20,174.47218322753906
2020-04-21,168.56993103027344
2020-04-22,171.67347717285156
2020-04-23,163.48973083496094
2020-04-24,163.6929473876953
2020-04-27,162.55686950683594
2020-04-28,161.57774353027344
2020-04-29,161.88258361816406
2020-04-30,164.68125915527344
2020-05-01,169.34584045410156
2020-05-04,169.53054809570312
2020-05-05,175.36814880371094
2020-05-06,169.62290954589844
2020-05-07,178.4070281982422
2020-05-08,182.2864532470703
2020-05-11,184.7342071533203
2020-05-12,185.46388244628906
2020-05-13,182.12020874023438
2020-05-14,186.26751708984375
2020-05-15,185.17752075195312
2020-05-18,189.1123809814453
2020-05-19,187.49595642089844
2020-05-20,187.1634063720703
2020-05-21,184.8819580078125
2020-05-22,183.35791015625
2020-05-26,186.25820922851562
2020-05-27,188.9461212158203
2020-05-28,189.95294189453125
2020-05-29,187.4127960205078
2020-06-01,187.0063934326172
2020-06-02,185.77796936035156
2020-06-03,189.25094604492188
2020-06-04,188.4750518798828
2020-06-05,191.02438354492188
2020-06-08,188.44729614257812
2020-06-09,185.66709899902344
2020-06-10,183.91212463378906
2020-06-11,171.5718536376953
2020-06-12,172.51402282714844
2020-06-15,174.9062957763672
2020-06-16,177.0030975341797
2020-06-17,182.2864532470703
2020-06-18,181.1503448486328
2020-06-19,174.4352569580078
2020-06-22,178.8873291015625
2020-06-23,179.17372131347656
2020-06-24,176.2825927734375
2020-06-25,184.0968475341797
2020-06-26,179.70018005371094
2020-06-29,178.82884216308594
2020-06-30,182.5550537109375
2020-07-01,180.97930908203125
2020-07-02,182.2306365966797
2020-07-06,183.04632568359375
2020-07-07,182.2120819091797
2020-07-08,184.67767333984375
2020-07-09,184.4737548828125
2020-07-10,187.54185485839844
2020-07-13,186.7446746826172
2020-07-14,189.04342651367188
2020-07-15,191.05479431152344
2020-07-16,192.32469177246094
2020-07-17,193.26087951660156
2020-07-20,192.7324981689453
2020-07-21,195.55963134765625
2020-07-22,196.97779846191406
2020-07-23,196.5050506591797
2020-07-24,196.0601806640625
2020-07-27,196.05087280273438
2020-07-28,194.59561157226562
2020-07-29,194.771728515625
2020-07-30,196.03233337402344
2020-07-31,194.6604766845703
2020-08-03,189.69224548339844
2020-08-04,189.76641845703125
2020-08-05,187.7179412841797
2020-08-06,185.33578491210938
2020-08-07,184.89083862304688
2020-08-10,182.67552185058594
2020-08-11,181.67449951171875
2020-08-12,181.10906982421875
2020-08-13,184.22349548339844
2020-08-14,186.78176879882812
2020-08-17,186.9300537109375
2020-08-18,186.59640502929688
2020-08-19,188.44094848632812
2020-08-20,187.32862854003906
2020-08-21,183.6024932861328
2020-08-24,180.37680053710938
2020-08-25,182.8424072265625
2020-08-26,186.83740234375
2020-08-27,190.53573608398438
2020-08-28,190.62841796875
2020-08-31,190.50794982910156
2020-09-01,193.14039611816406
2020-09-02,200.37026977539062
2020-09-03,194.13218688964844
2020-09-04,193.19601440429688
2020-09-08,188.28341674804688
2020-09-09,193.9004669189453
2020-09-10,192.12078857421875
2020-09-11,191.05479431152344
2020-09-14,191.1289520263672
2020-09-15,191.1753387451172
2020-09-16,191.81492614746094
2020-09-17,190.67478942871094
2020-09-18,190.30401611328125
2020-09-21,187.7272186279297
2020-09-22,188.78384399414062
2020-09-23,189.0805206298828
2020-09-24,183.8249053955078
2020-09-25,184.14932250976562
2020-09-28,191.73147583007812
2020-09-29,193.5170135498047
2020-09-30,194.19589233398438
2020-10-01,195.36766052246094
2020-10-02,194.9305419921875
2020-10-05,195.4234161376953
2020-10-06,194.40980529785156
2020-10-07,196.3347625732422
2020-10-08,196.28834533691406
2020-10-09,196.63243103027344
2020-10-12,201.8309326171875
2020-10-13,197.66464233398438
2020-10-14,197.6460418701172
2020-10-15,201.44964599609375
2020-10-16,201.57984924316406
2020-10-19,197.81350708007812
2020-10-20,194.73526000976562
2020-10-21,194.70738220214844
2020-10-22,194.88404846191406
2020-10-23,195.06077575683594
2020-10-26,189.04388427734375
2020-10-27,186.4027862548828
2020-10-28,180.33006286621094
2020-10-29,173.2064971923828
2020-10-30,169.70057678222656
2020-11-02,166.99435424804688
2020-11-03,167.86849975585938
2020-11-04,171.3466033935547
2020-11-05,173.64361572265625
2020-11-06,178.71192932128906
2020-11-09,182.2737274169922
2020-11-10,187.86280822753906
2020-11-11,188.7369842529297
2020-11-12,188.0395050048828
2020-11-13,192.32666015625
2020-11-16,195.8605499267578
2020-11-17,195.4141387939453
2020-11-18,191.2943878173828
2020-11-19,190.1691131591797
2020-11-20,185.43557739257812
2020-11-23,189.6390380859375
2020-11-24,194.3632354736328
2020-11-25,194.7725067138672
2020-11-27,194.87477111816406
2020-11-30,193.61000061035156
2020-12-01,199.09681701660156
2020-12-02,197.60887145996094
2020-12-03,197.91575622558594
2020-12-04,199.46878051757812
2020-12-07,194.7817840576172
2020-12-08,196.093017578125
2020-12-09,193.03343200683594
2020-12-10,192.33596801757812
2020-12-11,190.0854034423828
2020-12-14,191.35020446777344
2020-12-15,195.30252075195312
2020-12-16,197.1345672607422
2020-12-17,197.36703491210938
2020-12-18,190.54112243652344
2020-12-21,193.1636505126953
2020-12-22,194.93984985351562
2020-12-23,194.19589233398438
2020-12-24,196.97645568847656
2020-12-28,193.37753295898438
2020-12-29,193.2380828857422
2020-12-30,192.36085510253906
2020-12-31,196.59738159179688
2021-01-04,190.08395385742188
2021-01-05,188.49761962890625
2021-01-06,190.08395385742188
2021-01-07,191.53030395507812
2021-01-08,190.0279541015625
2021-01-11,185.9127197265625
2021-01-12,186.58457946777344
2021-01-13,190.61585998535156
2021-01-14,191.76361083984375
2021-01-15,192.83673095703125
2021-01-19,194.56307983398438
2021-01-20,196.21481323242188
2021-01-21,194.62844848632812
2021-01-22,192.69679260253906
2021-01-25,195.3283233642578
2021-01-26,196.16812133789062
2021-01-27,192.20217895507812
2021-01-28,192.51950073242188
2021-01-29,189.37472534179688
2021-02-01,193.58328247070312
2021-02-02,197.00794982910156
2021-02-03,192.41685485839844
2021-02-04,195.30960083007812
2021-02-05,208.9430694580078
2021-02-08,210.61338806152344
2021-02-09,213.2169189453125
2021-02-10,210.548095703125
2021-02-11,213.20758056640625
2021-02-12,212.21844482421875
2021-02-16,212.86231994628906
2021-02-17,214.5233612060547
2021-02-18,208.08457946777344
2021-02-19,209.94149780273438
2021-02-22,209.86685180664062
2021-02-23,210.9679718017578
2021-02-24,210.55738830566406
2021-02-25,209.2789764404297
2021-02-26,205.89163208007812
2021-03-01,211.565185546875
2021-03-02,211.92916870117188
2021-03-03,207.76724243164062
2021-03-04,207.11402893066406
2021-03-05,212.77838134765625
2021-03-08,210.1748046875
2021-03-09,211.2479248046875
2021-03-10,209.24163818359375
2021-03-11,207.356689453125
2021-03-12,207.86988830566406
2021-03-15,206.5541534423828
2021-03-16,207.2540283203125
2021-03-17,206.86212158203125
2021-03-18,206.3582000732422
2021-03-19,205.2943878173828
2021-03-22,206.04090881347656
2021-03-23,206.684814453125
2021-03-24,208.784423828125
2021-03-25,209.4935760498047
2021-03-26,214.02874755859375
2021-03-29,218.91847229003906
2021-03-30,217.43963623046875
2021-03-31,214.2291717529297
2021-04-01,218.63772583007812
2021-04-05,220.56578063964844
2021-04-06,221.6234893798828
2021-04-07,222.60623168945312
2021-04-08,221.8949432373047
2021-04-09,224.61863708496094
2021-04-12,228.34388732910156
2021-04-13,226.38766479492188
2021-04-14,221.56735229492188
2021-04-15,222.7466583251953
2021-04-16,225.01173400878906
2021-04-19,222.7747344970703
2021-04-20,222.04466247558594
2021-04-21,220.65005493164062
2021-04-22,218.22584533691406
2021-04-23,217.9824981689453
2021-04-26,216.49427795410156
2021-04-27,221.12745666503906
2021-04-28,230.1409912109375
2021-04-29,232.2469940185547
2021-04-30,242.29013061523438
2021-05-03,244.2837677001953
2021-05-04,245.95924377441406
2021-05-05,246.33363342285156
2021-05-06,249.450439453125
2021-05-07,252.7825927734375
2021-05-10,251.66876220703125
2021-05-11,247.33506774902344
2021-05-12,244.4615936279297
2021-05-13,246.29615783691406
2021-05-14,247.8966827392578
2021-05-17,248.97311401367188
2021-05-18,246.792236328125
2021-05-19,245.09808349609375
2021-05-20,247.34445190429688
2021-05-21,245.98727416992188
2021-05-24,246.09022521972656
2021-05-25,244.8453826904297
2021-05-26,243.413330078125
2021-05-27,244.9525909423828
2021-05-28,245.2997589111328
2021-06-01,243.80751037597656
2021-06-02,242.71875
2021-06-03,242.84080505371094
2021-06-04,243.7699737548828
2021-06-07,241.19833374023438
2021-06-08,238.92701721191406
2021-06-09,238.8707275390625
2021-06-10,241.67697143554688
2021-06-11,241.66761779785156
2021-06-14,240.38177490234375
2021-06-15,239.89373779296875
2021-06-16,222.5680694580078
2021-06-17,217.92227172851562
2021-06-18,211.36181640625
2021-06-21,216.0357666015625
2021-06-22,216.25164794921875
2021-06-23,216.0076141357422
2021-06-24,218.26014709472656
2021-06-25,221.02886962890625
2021-06-28,217.15264892578125
2021-06-29,217.92227172851562
2021-06-30,215.8856201171875
2021-07-01,216.80538940429688
2021-07-02,217.4623565673828
2021-07-06,215.81988525390625
2021-07-07,216.58953857421875
2021-07-08,210.3762969970703
2021-07-09,214.1868133544922
2021-07-12,211.33360290527344
2021-07-13,210.23553466796875
2021-07-14,209.3438720703125
2021-07-15,208.27395629882812
2021-07-16,208.6962890625
2021-07-19,202.8115692138672
2021-07-20,206.19973754882812
2021-07-21,210.8174285888672
2021-07-22,212.43173217773438
2021-07-23,212.49745178222656
2021-07-26,193.40728759765625
2021-07-27,193.3415985107422
2021-07-28,189.2119598388672
2021-07-29,191.05152893066406
2021-07-30,193.41665649414062
2021-08-02,191.42697143554688
2021-08-03,199.8551025390625
2021-08-04,198.21270751953125
2021-08-05,204.14430236816406
2021-08-06,202.70831298828125
2021-08-09,204.4540557861328
2021-08-10,204.6792755126953
2021-08-11,208.40533447265625
2021-08-12,207.6826629638672
2021-08-13,205.7680206298828
2021-08-16,205.33627319335938
2021-08-17,202.7458953857422
2021-08-18,200.96266174316406
2021-08-19,201.15032958984375
2021-08-20,205.30810546875
2021-08-23,204.4446258544922
2021-08-24,203.0650177001953
2021-08-25,203.0743865966797
2021-08-26,201.55392456054688
2021-08-27,205.8243408203125
2021-08-30,202.4643096923828
2021-08-31,207.1570587158203
2021-09-01,209.9539337158203
2021-09-02,215.92315673828125
2021-09-03,214.477783203125
2021-09-07,213.14503479003906
2021-09-08,212.06568908691406
2021-09-09,221.49813842773438
2021-09-10,222.01437377929688
2021-09-13,221.89231872558594
2021-09-14,219.8744354248047
2021-09-15,222.20204162597656
2021-09-16,219.66795349121094
2021-09-17,216.12962341308594
2021-09-20,212.87286376953125
2021-09-21,214.84381103515625
2021-09-22,216.74908447265625
2021-09-23,219.10484313964844
2021-09-24,219.4615020751953
2021-09-27,217.3497314453125
2021-09-28,213.99908447265625
2021-09-29,215.6756134033203
2021-09-30,218.94383239746094
2021-10-01,226.92135620117188
2021-10-04,223.6060791015625
2021-10-05,228.9463653564453
2021-10-06,227.2981414794922
2021-10-07,227.45822143554688
2021-10-08,228.76744079589844
2021-10-11,228.55079650878906
2021-10-12,227.83494567871094
2021-10-13,229.7658233642578
2021-10-14,233.72157287597656
2021-10-15,232.55364990234375
2021-10-18,230.66049194335938
2021-10-19,233.6744842529297
2021-10-20,229.9447479248047
2021-10-21,232.51600646972656
2021-10-22,233.35421752929688
2021-10-25,230.57579040527344
2021-10-26,229.822265625
2021-10-27,226.29029846191406
2021-10-28,234.07012939453125
2021-10-29,228.19287109375
2021-11-01,223.8038330078125
2021-11-02,223.25755310058594
2021-11-03,221.19488525390625
2021-11-04,217.625244140625
2021-11-05,217.86070251464844
2021-11-08,219.16989135742188
2021-11-09,219.8103790283203
2021-11-10,217.89840698242188
2021-11-11,216.90945434570312
2021-11-12,217.48394775390625
2021-11-15,216.0240936279297
2021-11-16,217.30503845214844
2021-11-17,216.34432983398438
2021-11-18,215.15760803222656
2021-11-19,219.2641143798828
2021-11-22,219.86688232421875
2021-11-23,221.43038940429688
2021-11-24,222.4004669189453
2021-11-26,215.6756134033203
2021-11-29,216.99420166015625
2021-11-30,212.70875549316406
2021-12-01,213.8013153076172
2021-12-02,218.4823455810547
2021-12-03,217.4180450439453
2021-12-06,218.98153686523438
2021-12-07,218.1432647705078
2021-12-08,221.336181640625
2021-12-09,218.8402557373047
2021-12-10,220.17771911621094
2021-12-13,218.4541015625
2021-12-14,218.67068481445312
2021-12-15,221.00653076171875
2021-12-16,219.60316467285156
2021-12-17,219.33941650390625
2021-12-20,218.4635009765625
2021-12-21,222.51348876953125
2021-12-22,223.22930908203125
2021-12-23,222.7113037109375
2021-12-27,225.1601104736328
2021-12-28,224.83990478515625
2021-12-29,224.56674194335938
2021-12-30,224.08474731445312
2021-12-31,224.43443298339844
2022-01-03,222.61997985839844
2022-01-04,225.5495147705078
2022-01-05,223.98081970214844
2022-01-06,221.45758056640625
2022-01-07,218.8303985595703
2022-01-10,219.83212280273438
2022-01-11,221.0985107421875
2022-01-12,220.91896057128906
2022-01-13,218.49964904785156
2022-01-14,216.52456665039062
2022-01-18,214.6723175048828
2022-01-19,214.1052703857422
2022-01-20,215.6929473876953
2022-01-21,213.23587036132812
2022-01-24,218.14999389648438
2022-01-25,214.19033813476562
2022-01-26,213.1508026123047
2022-01-27,210.7315216064453
2022-01-28,218.38626098632812
2022-01-31,221.0985107421875
2022-02-01,223.1303253173828
2022-02-02,224.78407287597656
2022-02-03,221.44813537597656
2022-02-04,224.78407287597656
2022-02-07,222.9318389892578
2022-02-08,212.7633514404297
2022-02-09,216.0520477294922
2022-02-10,214.1241912841797
2022-02-11,209.03050231933594
2022-02-14,206.82859802246094
2022-02-15,209.94717407226562
2022-02-16,213.37759399414062
2022-02-17,210.90162658691406
2022-02-18,213.20751953125
2022-02-22,210.9300079345703
2022-02-23,204.90072631835938
2022-02-24,207.72633361816406
2022-02-25,211.33636474609375
2022-02-28,210.0794677734375
2022-03-01,206.89476013183594
2022-03-02,211.57261657714844
2022-03-03,212.38531494140625
2022-03-04,210.02279663085938
2022-03-07,205.6851043701172
2022-03-08,205.52442932128906
2022-03-09,212.68772888183594
2022-03-10,212.1774444580078
2022-03-11,208.5957794189453
2022-03-14,208.00042724609375
2022-03-15,215.99534606933594
2022-03-16,217.80035400390625
2022-03-17,220.05894470214844
2022-03-18,223.02633666992188
2022-03-21,218.63197326660156
2022-03-22,221.4954071044922
2022-03-23,219.18003845214844
2022-03-24,221.78836059570312
2022-03-25,224.90696716308594
2022-03-28,227.60972595214844
2022-03-29,230.01010131835938
2022-03-30,227.58262634277344
2022-03-31,223.98890686035156
2022-04-01,225.16468811035156
2022-04-04,225.97068786621094
2022-04-05,227.06114196777344
2022-04-06,227.05160522460938
2022-04-07,227.96194458007812
2022-04-08,228.56878662109375
2022-04-11,225.94223022460938
2022-04-12,220.423583984375
2022-04-13,221.77001953125
2022-04-14,222.0260467529297
2022-04-18,221.1347198486328
2022-04-19,223.02171325683594
2022-04-20,227.45938110351562
2022-04-21,230.16183471679688
2022-04-22,225.0982666015625
2022-04-25,228.57827758789062
