,Close
2020-03-02,51.39406967163086
2020-03-03,52.10643005371094
2020-03-04,54.890323638916016
2020-03-05,53.1562614440918
2020-03-06,51.365943908691406
2020-03-09,46.04187774658203
2020-03-10,47.794708251953125
2020-03-11,42.76121139526367
2020-03-12,36.76228332519531
2020-03-13,36.837257385253906
2020-03-16,29.385446548461914
2020-03-17,29.272968292236328
2020-03-18,26.97650146484375
2020-03-19,28.129419326782227
2020-03-20,29.41356658935547
2020-03-23,27.70762062072754
2020-03-24,30.82893943786621
2020-03-25,34.709510803222656
2020-03-26,36.809139251708984
2020-03-27,34.56891632080078
2020-03-30,34.53142547607422
2020-03-31,31.869388580322266
2020-04-01,30.63210678100586
2020-04-02,30.55710792541504
2020-04-03,30.125940322875977
2020-04-06,34.540794372558594
2020-04-07,34.250221252441406
2020-04-08,37.16533279418945
2020-04-09,38.46821594238281
2020-04-13,36.20924758911133
2020-04-14,37.643367767333984
2020-04-15,35.35626983642578
2020-04-16,36.27486038208008
2020-04-17,37.38091278076172
2020-04-20,35.89054870605469
2020-04-21,35.637474060058594
2020-04-22,36.452945709228516
2020-04-23,36.72478103637695
2020-04-24,38.37448501586914
2020-04-27,39.47117233276367
2020-04-28,43.989131927490234
2020-04-29,45.507606506347656
2020-04-30,44.26095199584961
2020-05-01,43.62356948852539
2020-05-04,43.239261627197266
2020-05-05,44.448421478271484
2020-05-06,44.29844665527344
2020-05-07,44.2047119140625
2020-05-08,46.65557098388672
2020-05-11,45.65828323364258
2020-05-12,44.29408645629883
2020-05-13,42.98633575439453
2020-05-14,43.428524017333984
2020-05-15,44.41640090942383
2020-05-18,48.83827209472656
2020-05-19,48.904144287109375
2020-05-20,49.299278259277344
2020-05-21,49.86377716064453
2020-05-22,50.86105728149414
2020-05-26,52.5827751159668
2020-05-27,55.34879684448242
2020-05-28,52.60158157348633
2020-05-29,52.027671813964844
2020-06-01,51.736019134521484
2020-06-02,51.93360137939453
2020-06-03,53.31661605834961
2020-06-04,50.409461975097656
2020-06-05,53.13785171508789
2020-06-08,51.858333587646484
